# Round 9 — Path B4: framework-embedded / platform-provider / coding-agent / browser-agent deep-fill
# generated_by: scripts/path_b4_frameworks_platforms.py
# source: extraction/data-gaps.csv + web/landscape.json
# total_rows: 1058
# curated_fills: 29
# per_source:
#   record.url-backfill: 619
#   terminal-mark-p5: 305
#   terminal-mark-perf: 61
#   deferred-editorial: 44
#   curated-knowledge: 16
#   curated-citation: 13
# per_section_per_source:
#   Browser-agent memory | curated-citation: 1
#   Browser-agent memory | curated-knowledge: 3
#   Browser-agent memory | deferred-editorial: 1
#   Browser-agent memory | record.url-backfill: 89
#   Browser-agent memory | terminal-mark-p5: 49
#   Browser-agent memory | terminal-mark-perf: 8
#   Coding-agent memory | curated-citation: 1
#   Coding-agent memory | curated-knowledge: 6
#   Coding-agent memory | deferred-editorial: 4
#   Coding-agent memory | record.url-backfill: 118
#   Coding-agent memory | terminal-mark-p5: 53
#   Coding-agent memory | terminal-mark-perf: 10
#   Framework-embedded memory | curated-citation: 6
#   Framework-embedded memory | curated-knowledge: 4
#   Framework-embedded memory | deferred-editorial: 38
#   Framework-embedded memory | record.url-backfill: 276
#   Framework-embedded memory | terminal-mark-p5: 147
#   Framework-embedded memory | terminal-mark-perf: 29
#   Platform-provider memory | curated-citation: 5
#   Platform-provider memory | curated-knowledge: 3
#   Platform-provider memory | deferred-editorial: 1
#   Platform-provider memory | record.url-backfill: 136
#   Platform-provider memory | terminal-mark-p5: 56
#   Platform-provider memory | terminal-mark-perf: 14
record_id,record_name,section,column,gap_class,priority,old_value,new_value,citation_url,new_status,source
agixt-adaptive-memory--gh-josh-xt-agixt,AGiXT Adaptive Memory,Framework-embedded memory,perf,fillable-and-missing,10,no public benchmark scores found,no public benchmark scores found,https://github.com/Josh-XT/AGiXT,depth-floor-reached,terminal-mark-perf
aws-bedrock-agentcore-memory--docs-aws-amazon-com,AWS Bedrock AgentCore Memory,Platform-provider memory,perf,fillable-and-missing,10,no public benchmark scores found,no public benchmark scores found,https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/memory-integrate-lang.html,depth-floor-reached,terminal-mark-perf
agno-phidata-memory--docs-phidata-com,Agno (Phidata) Memory,Framework-embedded memory,perf,fillable-and-missing,10,no public benchmark scores found,no public benchmark scores found,https://docs.phidata.com/agents/memory,depth-floor-reached,terminal-mark-perf
aider--aider-chat,Aider,Coding-agent memory,perf,fillable-and-missing,10,no public benchmark scores found,no public benchmark scores found,https://aider.chat,depth-floor-reached,terminal-mark-perf
anthropic-claude-memory--platform-claude-com,Anthropic Claude Memory,Platform-provider memory,perf,fillable-and-missing,10,no public benchmark scores found,no public benchmark scores found,https://platform.claude.com/docs/en/agents-and-tools/tool-use/memory-tool,depth-floor-reached,terminal-mark-perf
anthropic-managed-agents-memory--platform-claude-com,Anthropic Managed Agents — Memory,Platform-provider memory,perf,fillable-and-missing,10,no public benchmark scores found,no public benchmark scores found,https://platform.claude.com/docs/en/managed-agents/overview,depth-floor-reached,terminal-mark-perf
augment-code--augmentcode-com,Augment Code,Coding-agent memory,perf,fillable-and-missing,10,no public benchmark scores found,no public benchmark scores found,https://www.augmentcode.com,depth-floor-reached,terminal-mark-perf
autogen-memory--microsoft-github-io,AutoGen Memory,Framework-embedded memory,perf,fillable-and-missing,10,no public benchmark scores found,no public benchmark scores found,https://microsoft.github.io/autogen/,depth-floor-reached,terminal-mark-perf
bolt-new-stackblitz--bolt-new,Bolt.new (StackBlitz),Coding-agent memory,perf,fillable-and-missing,10,no public benchmark scores found,no public benchmark scores found,https://bolt.new,depth-floor-reached,terminal-mark-perf
botpress-llmz--botpress-com,Botpress LLMz,Framework-embedded memory,perf,fillable-and-missing,10,no public benchmark scores found,no public benchmark scores found,https://botpress.com/features/knowledge-bases,depth-floor-reached,terminal-mark-perf
brave-leo--brave-com,Brave Leo,Browser-agent memory,perf,fillable-and-missing,10,no public benchmark scores found,no public benchmark scores found,https://brave.com/leo/,depth-floor-reached,terminal-mark-perf
browserbase--browserbase-com,Browserbase,Browser-agent memory,perf,fillable-and-missing,10,no public benchmark scores found,no public benchmark scores found,https://www.browserbase.com/,depth-floor-reached,terminal-mark-perf
